id;сотрудник;должность;команда;грейд;создан;навык;компетенция;домен;дата;оценка_;оценка;соответствие;Дата последней оценки;Соответствие по последней дате;План развития (оценка)Дата когда должен получить??;Запрос на обучение (да/нет);Рост уровня навыков;Вовлеченость (уровень навыка растет по времени);Key-people(рандом);Сильные навыки (да/нет)(Подтвержден руководителем);Пройденные оценки (Навык прошел проверку руководителя)(да/нет)
41;Акимов Роберт;Дизайнер;Медиа;Middle;16.03.2022;Seaborn;Умение проводить анализ данных и применять методы машинного обучения и аналитики данных.;Hard skills;10.08.2023;4;Уверенный;да;05.08.2024;да; ;да;да;да; ; ;да
41;Акимов Роберт;Дизайнер;Медиа;Middle;16.03.2022;Trello;Навыки работы с системами управления проектами;Hard skills;27.05.2023;1;Не владеет;нет;05.08.2024;; ; ;да;да;да; ;да
41;Акимов Роберт;Дизайнер;Медиа;Middle;16.03.2022;Trello;Навыки работы с системами управления проектами;Hard skills;24.12.2023;2;Начинающий;нет;05.08.2024;;да; ;да;да; ; ;да
41;Акимов Роберт;Дизайнер;Медиа;Middle;16.03.2022;Trello;Навыки работы с системами управления проектами;Hard skills;14.07.2023;3;Базовый;нет;05.08.2024;;да;да;да;да; ; ;да
41;Акимов Роберт;Дизайнер;Медиа;Middle;16.03.2022;Trello;Навыки работы с системами управления проектами;Hard skills;03.05.2023;4;Уверенный;да;05.08.2024;; ;да; ; ; ; ;да
41;Акимов Роберт;Дизайнер;Медиа;Middle;16.03.2022;Trello;Навыки работы с системами управления проектами;Hard skills;11.11.2023;5;Экспертный;да;05.08.2024;да; ;да; ; ; ;да;да
41;Акимов Роберт;Дизайнер;Медиа;Middle;16.03.2022;Windows;Навыки работы с операционными системами;Hard skills;04.10.2023;4;Уверенный;да;05.08.2024;; ; ;да;да;да; ;да
41;Акимов Роберт;Дизайнер;Медиа;Middle;16.03.2022;Windows;Навыки работы с операционными системами;Hard skills;15.12.2023;5;Экспертный;да;05.08.2024;;да; ; ;да; ;да;да
41;Акимов Роберт;Дизайнер;Медиа;Middle;16.03.2022;Windows;Навыки работы с операционными системами;Hard skills;17.08.2023;5;Экспертный;да;05.08.2024;; ; ; ; ; ;да;да
41;Акимов Роберт;Дизайнер;Медиа;Middle;16.03.2022;Windows;Навыки работы с операционными системами;Hard skills;20.09.2023;5;Экспертный;да;05.08.2024;;да; ; ;да; ;да;да
41;Акимов Роберт;Дизайнер;Медиа;Middle;16.03.2022;Windows;Навыки работы с операционными системами;Hard skills;12.02.2023;5;Экспертный;да;05.08.2024;да; ; ;да;да; ;да;да
41;Акимов Роберт;Дизайнер;Медиа;Middle;16.03.2022;Английский язык;Знание иностранных языков;Hard skills;29.04.2023;3;Базовый;нет;05.08.2024;; ;да;да;да; ; ;да
41;Акимов Роберт;Дизайнер;Медиа;Middle;16.03.2022;Английский язык;Знание иностранных языков;Hard skills;06.10.2023;3;Базовый;нет;05.08.2024;; ;да;да;да; ; ;да
41;Акимов Роберт;Дизайнер;Медиа;Middle;16.03.2022;Английский язык;Знание иностранных языков;Hard skills;11.06.2023;4;Уверенный;да;05.08.2024;; ; ;да;да; ; ;да
41;Акимов Роберт;Дизайнер;Медиа;Middle;16.03.2022;Английский язык;Знание иностранных языков;Hard skills;04.01.2023;5;Экспертный;да;05.08.2024;;да; ; ;да; ;да;да
41;Акимов Роберт;Дизайнер;Медиа;Middle;16.03.2022;Английский язык;Знание иностранных языков;Hard skills;09.03.2023;5;Экспертный;да;05.08.2024;да; ;да;да;да;да;да;да
41;Акимов Роберт;Дизайнер;Медиа;Middle;16.03.2022;Граммотная письменная речь;Навык делового общения и ведения переписки.;Soft skills;18.12.2023;3;Базовый;нет;05.08.2024;; ; ;да;да; ; ;да
41;Акимов Роберт;Дизайнер;Медиа;Middle;16.03.2022;Граммотная письменная речь;Навык делового общения и ведения переписки.;Soft skills;18.02.2023;3;Базовый;нет;05.08.2024;; ;да; ; ; ; ;да
41;Акимов Роберт;Дизайнер;Медиа;Middle;16.03.2022;Граммотная письменная речь;Навык делового общения и ведения переписки.;Soft skills;29.07.2023;4;Уверенный;да;05.08.2024;;да; ; ;да; ; ;да
41;Акимов Роберт;Дизайнер;Медиа;Middle;16.03.2022;Граммотная письменная речь;Навык делового общения и ведения переписки.;Soft skills;30.10.2023;4;Уверенный;да;05.08.2024;; ; ; ; ; ; ;да
41;Акимов Роберт;Дизайнер;Медиа;Middle;16.03.2022;Граммотная письменная речь;Навык делового общения и ведения переписки.;Soft skills;13.10.2023;4;Уверенный;да;05.08.2024;да; ; ; ; ; ; ;да
41;Акимов Роберт;Дизайнер;Медиа;Middle;16.03.2022;Делегирование;Работа в команде;Soft skills;18.06.2023;5;Экспертный;да;05.08.2024;; ; ;да;да; ; ; 
41;Акимов Роберт;Дизайнер;Медиа;Middle;16.03.2022;Делегирование;Работа в команде;Soft skills;14.04.2023;5;Экспертный;да;05.08.2024;; ; ;да;да;да;да;да
41;Акимов Роберт;Дизайнер;Медиа;Middle;16.03.2022;Делегирование;Работа в команде;Soft skills;17.10.2023;5;Экспертный;да;05.08.2024;; ;да; ; ; ;да;да
41;Акимов Роберт;Дизайнер;Медиа;Middle;16.03.2022;Делегирование;Работа в команде;Soft skills;06.02.2023;5;Экспертный;да;05.08.2024;; ; ; ; ; ;да;да
41;Акимов Роберт;Дизайнер;Медиа;Middle;16.03.2022;Делегирование;Работа в команде;Soft skills;05.11.2023;5;Экспертный;да;05.08.2024;да; ; ;да;да; ;да;да
41;Акимов Роберт;Дизайнер;Медиа;Middle;16.03.2022;Деловая переписка;Навык делового общения и ведения переписки.;Soft skills;09.01.2023;5;Экспертный;да;05.08.2024;; ; ; ; ; ;да;да
41;Акимов Роберт;Дизайнер;Медиа;Middle;16.03.2022;Деловая переписка;Навык делового общения и ведения переписки.;Soft skills;08.05.2023;5;Экспертный;да;05.08.2024;; ; ;да;да; ;да;да
41;Акимов Роберт;Дизайнер;Медиа;Middle;16.03.2022;Деловая переписка;Навык делового общения и ведения переписки.;Soft skills;23.04.2023;5;Экспертный;да;05.08.2024;; ; ; ; ; ;да;да
41;Акимов Роберт;Дизайнер;Медиа;Middle;16.03.2022;Деловая переписка;Навык делового общения и ведения переписки.;Soft skills;26.07.2023;5;Экспертный;да;05.08.2024;; ;да; ; ; ;да;да
41;Акимов Роберт;Дизайнер;Медиа;Middle;16.03.2022;Деловая переписка;Навык делового общения и ведения переписки.;Soft skills;25.12.2023;5;Экспертный;да;05.08.2024;да;да;да; ;да; ;да;да
41;Акимов Роберт;Дизайнер;Медиа;Middle;16.03.2022;Китайский язык;Знание иностранных языков;Hard skills;22.10.2023;2;Начинающий;нет;05.08.2024;; ; ; ; ; ; ;да
41;Акимов Роберт;Дизайнер;Медиа;Middle;16.03.2022;Китайский язык;Знание иностранных языков;Hard skills;11.05.2023;3;Базовый;нет;05.08.2024;; ; ;да;да; ; ;да
41;Акимов Роберт;Дизайнер;Медиа;Middle;16.03.2022;Китайский язык;Знание иностранных языков;Hard skills;22.04.2023;3;Базовый;нет;05.08.2024;; ;да; ; ; ; ;да
41;Акимов Роберт;Дизайнер;Медиа;Middle;16.03.2022;Китайский язык;Знание иностранных языков;Hard skills;13.03.2023;3;Базовый;нет;05.08.2024;;да; ; ;да; ; ;да
41;Акимов Роберт;Дизайнер;Медиа;Middle;16.03.2022;Китайский язык;Знание иностранных языков;Hard skills;04.11.2023;4;Уверенный;да;05.08.2024;да; ; ;да;да; ; ;да
41;Акимов Роберт;Дизайнер;Медиа;Middle;16.03.2022;Креативное мышление;Лидерские качества;Soft skills;10.04.2023;1;Не владеет;не требуется;05.08.2024;; ; ;да;да; ; ;да
41;Акимов Роберт;Дизайнер;Медиа;Middle;16.03.2022;Креативное мышление;Лидерские качества;Soft skills;28.04.2023;2;Начинающий;не требуется;05.08.2024;; ; ;да;да; ; ;да
41;Акимов Роберт;Дизайнер;Медиа;Middle;16.03.2022;Креативное мышление;Лидерские качества;Soft skills;12.09.2023;3;Базовый;не требуется;05.08.2024;; ; ; ; ; ; ; 
41;Акимов Роберт;Дизайнер;Медиа;Middle;16.03.2022;Креативное мышление;Лидерские качества;Soft skills;27.01.2023;3;Базовый;не требуется;05.08.2024;; ; ; ; ; ; ;да
41;Акимов Роберт;Дизайнер;Медиа;Middle;16.03.2022;Креативное мышление;Лидерские качества;Soft skills;05.01.2023;4;Уверенный;не требуется;05.08.2024;не требуется; ; ;да;да;да; ;да
41;Акимов Роберт;Дизайнер;Медиа;Middle;16.03.2022;Критическое мышление;Лидерские качества;Soft skills;25.05.2023;5;Экспертный;не требуется;05.08.2024;; ;да; ; ;да;да;да
41;Акимов Роберт;Дизайнер;Медиа;Middle;16.03.2022;Критическое мышление;Лидерские качества;Soft skills;23.12.2023;5;Экспертный;не требуется;05.08.2024;; ;да; ; ; ;да;да
41;Акимов Роберт;Дизайнер;Медиа;Middle;16.03.2022;Критическое мышление;Лидерские качества;Soft skills;16.05.2023;5;Экспертный;не требуется;05.08.2024;;да; ;да;да; ;да;да
41;Акимов Роберт;Дизайнер;Медиа;Middle;16.03.2022;Критическое мышление;Лидерские качества;Soft skills;10.05.2023;5;Экспертный;не требуется;05.08.2024;;да; ;да;да; ;да;да
41;Акимов Роберт;Дизайнер;Медиа;Middle;16.03.2022;Критическое мышление;Лидерские качества;Soft skills;11.11.2023;5;Экспертный;не требуется;05.08.2024;не требуется;да; ; ;да;да;да;да
41;Акимов Роберт;Дизайнер;Медиа;Middle;16.03.2022;Межличностные навыки;Межличностные навыки;Soft skills;20.10.2023;2;Начинающий;нет;05.08.2024;;да;да; ;да; ; ;да
41;Акимов Роберт;Дизайнер;Медиа;Middle;16.03.2022;Межличностные навыки;Межличностные навыки;Soft skills;03.09.2023;3;Базовый;нет;05.08.2024;; ; ;да;да;да; ;да
41;Акимов Роберт;Дизайнер;Медиа;Middle;16.03.2022;Межличностные навыки;Межличностные навыки;Soft skills;19.11.2023;4;Уверенный;да;05.08.2024;; ; ;да;да; ; ;да
41;Акимов Роберт;Дизайнер;Медиа;Middle;16.03.2022;Межличностные навыки;Межличностные навыки;Soft skills;07.02.2023;4;Уверенный;да;05.08.2024;;да; ;да;да;да; ;да
41;Акимов Роберт;Дизайнер;Медиа;Middle;16.03.2022;Межличностные навыки;Межличностные навыки;Soft skills;10.06.2023;4;Уверенный;да;05.08.2024;да; ; ; ; ; ; ;да
41;Акимов Роберт;Дизайнер;Медиа;Middle;16.03.2022;Менторство;Работа в команде;Soft skills;28.06.2023;4;Уверенный;да;05.08.2024;; ; ; ; ;да; ;да
41;Акимов Роберт;Дизайнер;Медиа;Middle;16.03.2022;Менторство;Работа в команде;Soft skills;11.01.2023;4;Уверенный;да;05.08.2024;; ; ; ; ; ; ;да
41;Акимов Роберт;Дизайнер;Медиа;Middle;16.03.2022;Менторство;Работа в команде;Soft skills;22.06.2023;4;Уверенный;да;05.08.2024;;да; ; ;да; ; ;да
41;Акимов Роберт;Дизайнер;Медиа;Middle;16.03.2022;Менторство;Работа в команде;Soft skills;24.05.2023;4;Уверенный;да;05.08.2024;; ;да; ; ; ; ;да
41;Акимов Роберт;Дизайнер;Медиа;Middle;16.03.2022;Менторство;Работа в команде;Soft skills;29.03.2023;4;Уверенный;да;05.08.2024;да;да;да; ;да; ; ;да
41;Акимов Роберт;Дизайнер;Медиа;Middle;16.03.2022;Навыки работы с технической документацией и разрешением технических проблем у пользователей.;Навыки работы с технической документацией и разрешением технических проблем у пользователей.;Hard skills;16.04.2023;3;Базовый;нет;05.08.2024;; ;да; ; ; ; ;да
41;Акимов Роберт;Дизайнер;Медиа;Middle;16.03.2022;Навыки работы с технической документацией и разрешением технических проблем у пользователей.;Навыки работы с технической документацией и разрешением технических проблем у пользователей.;Hard skills;28.09.2023;3;Базовый;нет;05.08.2024;; ; ; ; ; ; ;да
41;Акимов Роберт;Дизайнер;Медиа;Middle;16.03.2022;Навыки работы с технической документацией и разрешением технических проблем у пользователей.;Навыки работы с технической документацией и разрешением технических проблем у пользователей.;Hard skills;24.10.2023;3;Базовый;нет;05.08.2024;; ; ;да;да; ; ;да
41;Акимов Роберт;Дизайнер;Медиа;Middle;16.03.2022;Навыки работы с технической документацией и разрешением технических проблем у пользователей.;Навыки работы с технической документацией и разрешением технических проблем у пользователей.;Hard skills;17.08.2023;4;Уверенный;да;05.08.2024;; ;да;да;да; ; ;да
41;Акимов Роберт;Дизайнер;Медиа;Middle;16.03.2022;Навыки работы с технической документацией и разрешением технических проблем у пользователей.;Навыки работы с технической документацией и разрешением технических проблем у пользователей.;Hard skills;13.06.2023;4;Уверенный;да;05.08.2024;да; ; ;да;да;да; ;да
41;Акимов Роберт;Дизайнер;Медиа;Middle;16.03.2022;Обратная связь;Работа в команде;Soft skills;07.03.2023;4;Уверенный;да;05.08.2024;; ;да;да;да; ; ;да
